institution_name,inst_type,institution_city,state_abbv
California Alumni Association and The Regents of the University of California,"Alumni Association, University",Berkeley,CA
Arizona State University Alumni Association,Alumni Association,Tempe,AZ
University of Miami,University,Coral Gables,FL
"The Arch Foundation for the University of Georgia, Inc.",Foundation,Athens,GA
General Alumni Associationof the University of North Carolina at Chapel Hill,Alumni Association,Chapel Hill,NC
The Association of Former Students of Texas A&M University,Alumni Association,College Station,TX
Yale University,University,New Haven,CT
Indiana University Alumni Association,Alumni Association,Bloomington,IN
Boston College,University,Boston,MA
University of Washington Alumni Association,Alumni Association,Seattle,WA
State University of Iowa Alumni Association,Alumni Association,Iowa City ,IA
Auburn Spirit Foundation for Scholarships,Foundation,Auburn,AL
Purdue Alumni Association,Alumni Association,West Lafayette,IN
Harvard Alumni Association,Alumni Association,Cambridge,MA
Board of Regents of the University of Oklahoma,University,Norman,OK
"The Leland Stanford Junior University by Stanford Alumni Association and Stanford Department of Athletics, Physical Education and Recreation","Alumni Association, University",Stanford,CA
UCLA Alumni Association,Alumni Association,Los Angeles,CA
National Alumni Associationof the University of Alabama,Alumni Association,Tuscaloosa,AL
University of Minnesota Alumni Association,Alumni Association,Minneapolis,MN
Cornell Alumni Federation,Alumni Association,Ithaca,NY
Houston Alumni Organization,Alumni Association,Houston,TX
The Alumni Associationof the University of Kansas,Alumni Association,Lawrence ,KS
St. John's University ,University,Jamaica,NY
University of Pittsburgh of the Commonwealth System of Higher Education,University,Pittsburgh,PA
Michigan State University,University,East Lansing,MI
Trustees of the University of Pennsylvania,University,Philadelphia,PA
"Florida International University Foundation, Inc.",Foundation,Miami,FL
The Trustees of Columbia University in the City of New York,University,New York,NY
Georgia Tech Alumni Association,Alumni Association,Atlanta,GA
University of Missouri Alumni Association,Alumni Association,Columbia,MO
University of Colorado Foundation,Foundation,Boulder,CO
Oklahoma State University Alumni Association,Alumni Association,Stillwater,OK
Kansas State University Alumni Association,Alumni Association,Manhattan,KS
"University of South Florida Alumni Association, Inc.",Alumni Association,Tampa,FL
"The Association of Alumni, Former Students, and Friends of SIU",Alumni Association,Carbondale,IL
University of New Mexico Alumni Association,Alumni Association,Albuquerque,NM
Iowa State University Alumni Association,Alumni Association,Ames,IA
"The United States Naval Academy Alumni Association, Inc.",Alumni Association,Annapolis,MD
"University of Maryland Alumni Association, Inc. and M Club Foundation, University of Maryland, Inc.","Alumni Association, Foundation",College Park,MD
"Rutgers University Alumni Federation and Rutgers, the State University of New Jersey","Alumni Association, University",New Brunswick,NJ
West Point Association of Graduates,Alumni Association,West Point,NY
Syracuse University,University,Syracuse,NY
Texas Tech Alumni Association,Alumni Association,Lubbock,TX
University of Louisville,University,Louisville,KY
"Oregon State University Alumni Association, Inc.",Alumni Association,Corvallis,OR
"Clemson Alumni Association and Clemson University Foundation, Inc.","Alumni Association, Foundation",Clemson,SC
Northwestern University,University,Evanston,IL
The Trustees of Princeton University,University,Princeton,NJ
"University of Oregon Alumni Association, Inc.",Alumni Association,Eugene,OR
"University of Florida Alumni Association, Inc. and The University Athletic Association, Inc.","Alumni Association, Other",Gainesville,FL
Villanova University,University,Villanova,PA
Brown Alumni Association,Alumni Association,Providence,RI
American Association for Justice,Other,Washington,DC
The Association of the Alumni and Alumnae of the Massachusetts Institute of Technology,Alumni Association,Cambridge,MA
Trustees of Boston University,University,Boston,MA
"University of Massachusetts Amherst Alumni Association, Inc.",Alumni Association,Amherst,MA
Mississippi State University Alumni Association,Alumni Association,Mississippi State,MS
The William and Mary Alumni Association,Alumni Association,Williamsburg,VA
University of Hawaii at Manoa,University,Honolulu,HI
"Wichita State University Alumni Association, Inc.",Alumni Association,Wichita,KS
"California State University, Northridge Alumni Association",Alumni Association,Northridge,CA
University of Cincinnati,University,Cincinnati,OH
University of Central Florida Alumni Association,Alumni Association,Orlando,FL
Washington State University Alumni Association,Alumni Association,Pullman,WA
The University of Chicago,University,Chicago,IL
American Chemical Society,Other,Washington,DC
Fordham University,University,Bronx,NY
Colorado State University Alumni Association,Alumni Association,Fort Collins,CO
University of Utah Alumni Association,Alumni Association,Salt Lake City,UT
Drexel University,University,Philadelphia,PA
Central Michigan University,University,Mount Pleasant,MI
University of New Hampshire Alumni Association,Alumni Association,Durham,NH
University of Delaware Alumni Association,Alumni Association,Newark,DE
Phi Theta Kappa International Honor Society,Other,Jackson,MS
"Arkansas Alumni Association, Inc.",Alumni Association,Fayetteville,AR
Northern Illinois University Alumni Association,Alumni Association,DeKalb,IL
Temple University-Of the Commonwealth System of Higher Education,University,Philadelphia,PA
Western Michigan University Alumni Association,Alumni Association,Kalamazoo,MI
California State University-Long Beach Alumni Association,Alumni Association,Long Beach,CA
California Aggie Alumni Association,Alumni Association,Davis,CA
University of Rhode Island Alumni Association,Alumni Association,Kingston,RI
University of Memphis,University,Memphis,TN
San Diego State University Campanile Foundation,Foundation,San Diego,CA
Texas Christian University,University,Fort Worth,TX
State University of New York at Binghamton Alumni Association,Alumni Association,Binghamton,NY
The Ex-Students Association of the University of Texas,Alumni Association,Austin,TX
Institute of Management Accountants,Other,Montvale,NJ
Case Western Reserve University,University,Cleveland,OH
University of California-Riverside Alumni Association,Alumni Association,Riverside,CA
American Veterinary Medical Association,Other,Schaumburg,IL
West Virginia University Alumni Association,Alumni Association,Morgantown,WV
Marquette University,University,Milwaukee,WI
North Texas Exes,Alumni Association,Denton,TX
"Crimson Tide Sports Marketing, LLC",University,Tuscaloosa ,AL
University of Mississippi Foundation,Foundation,Oxford,MS
Weber State University Alumni Association,Alumni Association,Ogden,UT
Association for Computing Machinery,Other,New York,NY
"Bloomsburg University Foundation, Inc.",Foundation,Bloomsburg,PA
University of Northern Iowa Alumni Association,Alumni Association,Cedar Falls,IA
Kent State University,University,Kent,OH
Montana State University Alumni Association,Alumni Association,Bozeman,MT
James Madison University Alumni Association,Alumni Association,Harrisonburg,VA
The Honor Society of Phi Kappa Phi,Other,Baton Rouge,LA
"The Foundation of the University of North Carolina at Charlotte, Inc.",Foundation,Charlotte,NC
University of Connecticut Alumni AssociationInc.,Alumni Association,Storrs,CT
"Florida Atlantic University Foundation, Inc.",Foundation,Boca Raton,FL
Northern Arizona University Alumni Association,Alumni Association,Flagstaff,AZ
Sam Houston State University,University,Huntsville,TX
University of Louisiana at Lafayette Alumni Association,Alumni Association,Lafayette,LA
University of Dayton,University,Dayton,OH
"Eastern Illinois University Alumni Association, Inc.",Alumni Association,Charleston,IL
William Marsh Rice University,University,Houston,TX
Wake Forest University,University,Winston-Salem,NC
"Sigma Theta Tau International Honor Society of Nursing, Inc.",Other,Indianapolis,IN
"Georgia State University Alumni Association, Inc.",Alumni Association,Atlanta,GA
The College of the Holy Cross General Alumni Association,Alumni Association,Worcester,MA
University of Wyoming Alumni Association,Alumni Association,Laramie,WY
Alumnae Association of Smith College,Alumni Association,Northampton,MA
Tennessee Technological University Alumni Association,Alumni Association,Cookeville,TN
"University of California, San Diego Alumni Association",Alumni Association,San Diego,CA
Pittsburg State University Alumni Association,Alumni Association,Pittsburg,KS
University of Wisconsin-Milwaukee Alumni Association,Alumni Association,Milwaukee,WI
California State University-Fullerton Alumni Association,Alumni Association,Fullerton,CA
"East Carolina University Alumni Association, Inc.",Alumni Association,Greenville,NC
Sacramento State Alumni Association,Alumni Association,Sacramento,CA
University of Texas at Arlington Alumni Association,Alumni Association,Arlington,TX
DePaul University,University, Chicago,IL
Murray State University Alumni Association,Alumni Association,Murray,KY
St. Cloud State University Alumni Association,Alumni Association,St. Cloud,MN
"California State University, Los Angeles Alumni Association",Alumni Association,Los Angeles,CA
"Georgia Southern University Foundation, Inc.",Foundation,Statesboro,GA
University of Northern Colorado Alumni Association,Alumni Association,Greeley,CO
Seton Hall University,University,South Orange ,NJ
Ball State University Alumni Association,Alumni Association,Muncie,IN
Illinois State University Foundation,Foundation,Normal,IL
University of Scranton Alumni Society,Alumni Association,Scranton,PA
Alpha Delta Pi Sorority,Other,Atlanta,GA
"Towson University Foundation, Inc.",Foundation,Towson,MD
Virginia Commonwealth University Alumni Associationand The Medical College of Virginia Alumni Associationof Virginia Commonwealth University,Alumni Association,Richmond,VA
University of Richmond,University,Richmond,VA
University of California-Irvine Alumni Association,Alumni Association,Irvine,CA
Asociacion Alumni CAAM,Alumni Association,Mayaguez,PR
The University of Arizona Alumni Association,Alumni Association,Tucson,AZ
Universidad Interamericana de Puerto Rico,University,San Juan,PR
San Jose State University Alumni Association,Alumni Association,San Jose,CA
University of Southern Mississippi Alumni Association,Alumni Association,Hattiesburg,MS
Association of Graduates of the United States Air Force Academy,Alumni Association,Colorado Springs,CO
Saint Louis University,University,St. Louis,MO
Louisiana Tech University Foundation,Foundation,Ruston,LA
Bowling Green State University Alumni Association,Alumni Association,Bowling Green,OH
Montclair State University Alumni Association,Alumni Association,Upper Montclair,NJ
Salem State College Alumni Association,Alumni Association,Salem,MA
Bucknell University Alumni Association,Alumni Association,Lewisburg,PA
Providence College Alumni Association,Alumni Association,Providence ,RI
Pepperdine University Alumni Association,Alumni Association,Malibu,CA
American Occupational Therapy Association,Other,Bethesda,MD
Marshall University Alumni Association,Alumni Association,Huntington,WV
Loyola University Maryland,University,Baltimore,MD
"Middle Tennessee State University National Alumni Association and Middle Tennessee State University Foundation, Inc.","Alumni Association, Foundation",Murfreesboro,TN
Duquesne University Alumni Association,Alumni Association,Pittsburgh,PA
"Minnesota State University, Mankato Foundation, Inc.",Foundation,Mankato,MN
"The Regents of the University of Colorado, a Body Corporate",University,Denver,CO
Abilene Christian University,University,Abilene,TX
Santa Clara University,University,Santa Clara,CA
University of Vermont and State Agricultural  College,University,Burlington,VT
National Society of Collegiate Scholars,Other,Washington,DC
Alumni Associationof George Mason University,Alumni Association,Fairfax,VA
"Boise State University Alumni Association, Inc.",Alumni Association,Boise,ID
University of Nevada Reno Foundation,Foundation,Reno,NV
Fairleigh Dickinson University,University,Teaneck,NJ
Washington University,University,St. Louis,MO
University of Wisconsin-La Crosse Alumni Association,Alumni Association,La Crosse,WI
Stephen F. Austin Alumni Association,Alumni Association,Nacogdoches,TX
Tau Kappa Epsilon Fraternity,Other,Indianapolis,IN
Northeastern University,University,Boston,MA
"California State University, Fresno Alumni Association",Alumni Association,Fresno,CA
Zeta Tau Alpha Fraternity,Other,Indianapolis,IN
"University of Wisconsin-Whitewater Foundation, Inc.",Foundation,Whitewater,WI
Loyola University New Orleans,University,New Orleans,LA
Chapman University,University,Orange ,CA
American Counseling Association,Other,Alexandria,VA
University of Denver Alumni Association,Alumni Association,Denver,CO
Oakland University,University,Rochester,MI
Delta Sigma Pi,Other,Oxford,OH
University of California-Santa Cruz Alumni Association,Alumni Association,Santa Cruz,CA
"Sonoma State University Alumni Association, Inc.",Alumni Association,Rohnert Park,CA
University of Puerto Rico,University,San Juan,PR
Asociacion de Exalumnos de la Universidad de Puerto Rico ,Alumni Association,San Juan,PR
Loyola University Chicago,University,Chicago,IL
"American Society of Interior Designers, Inc.",Other,Washington,DC
New Mexico State University Alumni Association,Alumni Association,Las Cruces,NM
"Appalachian State University Foundation, Inc.",Foundation,Boone,NC
"The Ohio State University Alumni Association, Inc.",Alumni Association,Columbus,OH
Valdosta State University Alumni Association,Alumni Association,Valdosta,GA
Emory University,University,Atlanta,GA
University of Missouri-St. Louis Alumni Association,Alumni Association,St. Louis,MO
Brandeis University,University,Waltham,MA
Who's Who Among Students in American Universities and Colleges,Other,Tuscaloosa,AL
Cal Poly Pomona Alumni Association,Alumni Association,Pomona,CA
Phi Alpha Delta Law Fraternity International,Other,Baltimore,MD
"Oswego Alumni Association, Inc.",Alumni Association,Oswego,NY
South Dakota State University Alumni Association,Alumni Association,Brookings,SD
Beta Theta Pi,Other,Oxford,OH
National Science Teachers Association,Other,Arlington,VA
Saginaw Valley State University,University,University Center,MI
Loyola Marymount University,University,Los Angeles,CA
Sigma Alpha Epsilon Fraternity,Other,Evanston,IL
Massachusetts Medical Society,Other,Waltham,MA
"East Stroudsburg University Foundation, Inc.",Foundation,East Stroudsburg,PA
MENC: The National Association for Music Education,Other,Reston,VA
Phi Mu ,Other,Tucker,GA
"University of Toledo Alumni Association, Inc.",Alumni Association,Toledo,OH
University of Louisiana at Monroe Alumni Association,Alumni Association,Monroe,LA
Phi Delta Theta Fraternity,Other,Oxford,OH
University of Wisconsin-Platteville Alumni Association,Alumni Association,Platteville,WI
"Alpha Omicron Pi Fraternity, Inc.",Other,Brentwood,TN
Chi O Creations,Other,Memphis,TN
Texas State University-San Marcos Alumni Association,Alumni Association,San Marcos,TX
Southwest Missouri State University Foundation,Foundation,Springfield,MO
Pi Kappa Alpha Corporation,Other,Memphis ,TN
West Chester University Alumni Association,Alumni Association,West Chester ,PA
University of North Carolina Greensboro Alumni Association,Alumni Association,Greensboro,NC
"Heritage Affinity Enterprises, LLC",Other,Hewlett,NY
Johns Hopkins University,University,Baltimore,MD
"Gamma Phi Beta International Sorority, Inc.",Other,Englewood,CO
Alpha Phi International Fraternity,Other,Evanston,IL
"Central Connecticut State University Alumni Association, Inc.",Alumni Association,New Britain,CT
Kappa Sigma Fraternity,Other,Charlottesville,VA
"Sigma Phi Epsilon Fraternity, Inc.",Other,Richmond,VA
"Omicron Delta Kappa Society, Inc.",Other,Lexington,KY
Indiana State University,University,Terre Haute,IN
Youngstown State University,University,Youngstown,OH
"Beta Gamma Sigma, Inc.",Other,St. Louis,MO
Kean University Alumni Association,Alumni Association,Union,NJ
SAE International,Other,Warrendale,PA
Drake University,University,Des Moines,IA
"Kappa Delta Sorority, Inc.",Other,Memphis,TN
"Teachers College, Columbia University",University,New York,NY
Howard University Department of Alumni Relations,Alumni Association,Washington,DC
The College of New Jersey Alumni Association,Alumni Association,Ewing,NJ
"California State University, Chico Alumni Association and The University Foundation, California State University, Chico","Alumni Association, Foundation",Chico,CA
Sigma Kappa Sorority,Other,Indianapolis,IN
Phi Kappa Tau Fraternity,Other,Oxford,OH
Bradley University,University,Peoria,IL
Institute of Industrial Engineers,Other,Norcross,GA
Michigan Technological University,University,Houghton,MI
Edinboro University of Pennsylvania Alumni Association,Alumni Association,Edinboro,PA
"Kappa Alpha Theta Fraternity, Inc.",Other,Indianapolis,IN
Alpha Chi Omega,Other,Indianapolis,IN
University of San Diego Alumni Association,Alumni Association,San Diego,CA
American Society of Safety Engineers,Other,Des Plaines,IL
"The Fraternity of Phi Gamma Delta, Inc.",Other,Lexington,KY
The Catholic University of America,University,Washington,DC
"The Potsdam College Foundation, Inc.",Foundation,Potsdam ,NY
Ohio Northern University Alumni Association,Alumni Association,Ada,OH
The Board of Trustees of Northern Michigan University,University,Marquette,MI
Kappa Alpha Order,Other,Lexington,VA
East Tennessee State University Foundation,Foundation,Johnson City,TN
Washington and Lee University,University,Lexington,VA
Delta State University Alumni Association,Alumni Association,Cleveland,MS
Saint Peter's College Alumni Association,Alumni Association,Jersey City,NJ
"Southwestern Oklahoma State University Alumni Association, Inc.",Alumni Association,Weatherford ,OK
Georgetown University Alumni Association,Alumni Association,Washington,DC
La Salle University Alumni Association,Alumni Association,Philadelphia,PA
"Harding University, Inc.",University,Searcy,AR
Ohio University Alumni Association,Alumni Association,Athens,OH
Saint Joseph's University,University,Philadelphia,PA
Wright State University Alumni Association,Alumni Association,Dayton,OH
Canisius College,University,Buffalo,NY
Embry Riddle Aeronautical University,University,Daytona Beach,FL
"University of Texas Pan American Alumni Association, Inc.",Alumni Association,Edinburg,TX
Cleveland State University Alumni Association,Alumni Association,Cleveland,OH
University of New Orleans National Alumni Association,Alumni Association,New Orleans,LA
Idaho State University,University,Pocatello,ID
Troy University Foundation ,Foundation,Troy ,AL
Rhode Island College Alumni Association,Alumni Association,Providence,RI
"Slippery Rock University Foundation, Inc.",Foundation,Slippery Rock,PA
American Association of University Women,Other,Washington,DC
University of Texas at El Paso Alumni Association,Alumni Association,El Paso,TX
Alpha Tau Omega,Other,Indianapolis,IN
Northwest Missouri State University Alumni Association,Alumni Association,Maryville,MO
The Regents of the University of Colorado ,University,Colorado Springs,CO
Alpha Sigma Alpha Sorority,Other,Indianapolis,IN
"Sigma Pi Fraternity International, Inc.",Other,Vincennes,IN
"Lambda Chi Alpha Fraternity, Inc.",Other,Indianapolis,IN
Kings College,University,Wilkes Barre,PA
Ohio State Bar Association,Other,Columbus,OH
MSM-UMR Alumni Association,Alumni Association,Rolla,MO
University of Utah Athletics Department,University,Salt Lake City,UT
American College of Osteopathic Family Physicians,Other,Arlington Heights,IL
"Sigma Xi, The Scientific Research Society",Other,Research Triangle Park,NC
Delta Zeta Sorority,Other,Oxford,OH
Worcester Polytechnic Institute Alumni Association,Alumni Association,Worcester,MA
College of Charleston Alumni Association,Alumni Association,Charleston,SC
Furman University,University,Greenville,SC
American Society of Landscape Architects,Other,Washington,DC
Kennesaw State University Alumni Association,Alumni Association,Marietta,GA
University of Central Oklahoma Alumni Association,Alumni Association,Edmond,OK
Alpha Gamma Delta,Other,Indianapolis,IN
Rhode Island School of Design,University,Providence ,RI
NCPA Foundation,Foundation,Alexandria,VA
"American Institute of Aeronautics and Astronautics, Inc.",Other,Reston,VA
"United States Coast Guard Academy Alumni Association, Inc.",Alumni Association,New London,CT
Alumni Associationof the University of South Dakota,Alumni Association,Vermillion,SD
University of West Florida Foundation,Foundation,Pensacola,FL
Iona College,University,New Rochelle,NY
Fairfield University,University,Fairfield,CT
National University,University,La Jolla,CA
Siena College,University,Loudonville,NY
American University,University,Washington,DC
Stetson University,University,DeLand,FL
Southeast Missouri State University,University,Cape Girardeau,MO
Pi Kappa Phi Foundation,Foundation,Charlotte,NC
Manhattan College,University,Riverdale,NY
Alpha Chi National College Honor Scholarship Society,Other,Searcy,AR
Rowan University Alumni Association and Rowan University Foundation,"Alumni Association, Foundation",Glassboro,NJ
Butler Community College Foundation,Foundation,El Dorado,KS
Western Washington University Alumni Association,Alumni Association,Bellingham,WA
University of Massachusetts Lowell ,University,Lowell,MA
Alpha Gamma Rho Fraternity,Other,Kansas City,MO
Franklin and Marshall College,University,Lancaster,PA
Keene State College Alumni Association,Alumni Association,Keene,NH
