institution_name,inst_type,institution_city,state_abbv
Associated Alumnae and Alumni of the Sacred Heart,Alumni Association,St. Louis,MO
Central Washington University Alumni Association,Alumni Association,Ellensburg,WA
Oral Roberts University Alumni Foundation,Foundation,Tulsa,OK
"The Development Foundation of Western Carolina University, Inc.",Foundation,Cullowhee,NC
National Lawyers Guild,Other,New York,NY
University of Wisconsin-Superior Alumni Association,Alumni Association,Superior,WI
Society of Plastics Engineers,Other,Brookfield,CT
Southern Methodist University,University,Dallas,TX
Grand Valley State University,University,Allendale,MI
The Queens College Foundation,Foundation,Flushing,NY
"SUNY-Fredonia Alumni Association, Inc.",Alumni Association,Fredonia,NY
Kutztown University Alumni Association,Alumni Association,Kutztown,PA
Society of Women Engineers,Other,New York,NY
Seattle University,University,Seattle,WA
National-Louis University,University,Evanston,IL
Clarkson University,University,Potsdam,NY
Society of Nuclear Medicine,Other,New York,NY
Moravian College,University,Bethlehem,PA
Lewis and Clark College,University,Portland,OR
"Society for Mining, Metallurgy and Exploration, Inc.",Other,Littleton,CO
Ohio Wesleyan University,University,Delaware,OH
William Paterson University Alumni Association,Alumni Association,Wayne,NJ
Otterbein College,University,Westerville,OH
University of Redlands,University,Redlands,CA
Princeton University Store,Other,Princeton,NJ
Bryant University,University,Smithfield,RI
University of Evansville,University,Evansville,IN
University of La Verne,University,La Verne,CA
Baruch College Alumni Association,Alumni Association,New York,NY
"Phi Delta Kappa International, Inc.",Other,Bloomington,IN
Gustavus Adolphus College,University,Saint Peter,MN
Sigma Alpha Iota International Music Fraternity,Other,Asheville,NC
Monmouth University,University,West Long Branch,NJ
Liberty University,University,Lynchburg,VA
Wofford College,University,Spartanburg,SC
Delta Gamma Fraternity,Other,Columbus,OH
University of Baltimore Alumni Association,Alumni Association,Baltimore,MD
Saint Anselm College,University,Manchester,NH
Rider University,University,Lawrenceville,NJ
Pace University,University,New York,NY
Clark University Alumni Association,Alumni Association,Worcester,MA
Stephens College,University,Columbia,MO
Geneva College,University,Beaver Falls,PA
Rockhurst University,University,Kansas City,MO
Fort Hays State University Alumni Association,Alumni Association,Hays,KS
Lafayette College Alumni Association,Alumni Association,Easton,PA
St. Thomas University,University,Miami,FL
Psi Upsilon Fraternity,Other,Indianapolis,IN
Gemological Institute of America Alumni Association,Alumni Association,Santa Monica,CA
Bethel College Alumni Association,Alumni Association,North Newton,KS
Freed Hardeman University,University,Henderson,TN
Water Environment Federation,Other,Alexandria,VA
Delta Delta Delta Fraternity,Other,Arlington,TX
Phi Kappa Psi,Other,Indianapolis,IN
Augustana College,University,Sioux Falls,SD
"University of West Georgia Foundation, Inc.",Foundation,Carrollton,GA
"Mansfield University Foundation, Inc.",Foundation,Mansfield,PA
"The Alumni Society of School of Visual Arts, Inc.",Alumni Association,New York,NY
Lee University,University,Cleveland,TN
"Foundation Chapter of Theta Chi Fraternity, Inc.",Foundation,Indianapolis,IN
University of Tampa National Alumni Association,Alumni Association,Tampa,FL
"Alpha Phi Alpha Fraternity, Inc.",Other,Baltimore,MD
The Alumni Associationof New Jersey Institute of Technology,Alumni Association,Newark,NJ
"Thunderbird, The American Graduate School of International Management",University,Glendale,AZ
"Delta Chi Fraternity, Inc.",Other,Iowa City,IA
Mortar Board Foundation Fund,Foundation,Columbus,OH
"Stonehill College, Inc.",University,Easton,MA
"Northeastern State University Foundation, Inc.",Foundation,Tahlequah,OK
The Trustees of Dartmouth College,University,Hanover,NH
Trinity University,University,San Antonio,TX
"The Alumni Association, Cal State Bakersfield Foundation",Foundation,Bakersfield,CA
Barry University Alumni Association,Alumni Association,Miami Shores,FL
College of Notre Dame of Maryland,University,Baltimore,MD
National Alumni Associationof the Tennessee State University,Alumni Association,Nashville,TN
Colorado College,University,Colorado Springs,CO
Shepherd College Alumni Association,Alumni Association,Shepherdstown,WV
The Grand Chapter of Phi Sigma Kappa,Other,Indianapolis,IN
"Indiana University of Pennsylvania Alumni Association, Inc.",Alumni Association,Indiana ,PA
New Jersey City University Foundation,Foundation,Jersey City,NJ
Le Moyne College,University,Syracuse,NY
Washburn University,University,Topeka,KS
Hampden Sydney College,University,Hampden-Sydney,VA
Whittier College,University,Whittier,CA
Cooper Union for the Advancement of Science and Art,University,New York,NY
Palmer College of Chiropractic Alumni Association,Alumni Association,Davenport,IA
Ursinus College,University,Collegeville,PA
Niagara University,University,Niagara,NY
"The California University of Pennsylvania Alumni Association, Inc.",Alumni Association,California,PA
Calvert Hall College Alumni Association,Alumni Association,Towson,MD
Association of Energy Engineers,Other,Atlanta,GA
American Nuclear Society,Other,La Grange,IL
North Carolina Agricultural and Technical State University,University,Greensboro,NC
Richard Stockton College of New Jersey,University,Pomona,NJ
University of the Sciences in Philadelphia,University,Philadelphia,PA
"College of Staten Island Alumni Association, Inc.",Alumni Association,Staten Island,NY
University of Southern Indiana Alumni Association,Alumni Association,Evansville,IN
Parker School for Professional Success,University,Dallas,TX
Louisiana State University Medical Center Foundation,Foundation,New Orleans,LA
Dowling College,University,Oakdale,NY
Springfield College,University,Springfield,MA
Wayland Baptist University,University,Plainview,TX
Haverford College,University,Haverford,PA
National Society of Black Engineers,Other,Alexandria,VA
Luther College,University,Decorah,IA
"Sigma Tau Gamma Fraternity, Inc.",Other,Warrensburg,MO
Union College,University,Schenectady,NY
The Alumnae Association of Mount Holyoke College and The Trustees of Mount Holyoke College,"Alumni Association, University",South Hadley,MA
West Liberty State College Alumni Association,Alumni Association,West Liberty,WV
"TAPPI Foundation, Inc.",Foundation,Atlanta,GA
York College of Pennsylvania,University,York,PA
Roger Williams University,University,Bristol ,RI
Delta Upsilon International Fraternity,Other,Indianapolis,IN
Swarthmore College,University,Swarthmore,PA
Longwood University Alumni Association,Alumni Association,Farmville,VA
North Georgia College & State University Alumni Association,Alumni Association,Dahlonega,GA
Elizabethtown College,University,Elizabethtown,PA
California Veterinary Medical Association,Other,Sacramento,CA
FFA Alumni Association,Alumni Association,Alexandria,VA
Southern Oregon University Foundation,Foundation,Ashland,OR
New York City College of Technology Alumni Association,Alumni Association,Brooklyn,NY
American College of Sports Medicine,Other,Indianapolis,IN
Auburn University at Montgomery Alumni Association,Alumni Association,Montgomery,AL
Southwest Baptist University,University,Bolivar ,MO
Milligan College Alumni Association,Alumni Association,Milligan College,TN
"Westfield State College Foundation, Inc.",Foundation,Westfield,MA
Western Oregon University Development Foundation,Foundation,Monmouth,OR
Wartburg College,University,Waverly,IA
Gettysburg College,University,Gettysburg,PA
Texas Wesleyan University,University,Fort Worth,TX
Western New England College,University,Springfield,MA
Robert Morris College Alumni Association,Alumni Association,Coraopolis,PA
Henderson State University,University,Arkadelphia,AR
Eastern New Mexico University Alumni Association,Alumni Association,Portales,NM
Morgan State University National Alumni Association,Alumni Association,Baltimore,MD
Saint Mary's College of California,University,Moraga,CA
Lewis University,University,Romeoville,IL
"Zeta Beta Tau Fraternity, Inc.",Other,Indianapolis,IN
Benedictine University,University,Lisle,IL
Lamar University,University,Beaumont,TX
Russell Sage College Alumnae Association,Alumni Association,Troy,NY
University of Dallas,University,Irving,TX
Javelina Alumni Association,Alumni Association,Kingsville,TX
"Phi Mu Alpha Sinfonia Fraternity of America, Inc.",Other,Evansville,IN
Polytechnic University Alumni Association,Alumni Association,Brooklyn,NY
Saint Francis University,University,Loretto,PA
Buffalo State Alumni Association,Alumni Association,Buffalo,NY
University of the Pacific,University,Stockton,CA
Midwestern State University Ex-Students Association,Alumni Association,Wichita Falls,TX
Association of Information Technology Professionals,Other,Park Ridge,IL
Bryn Mawr College Alumnae Association,Alumni Association,Bryn Mawr,PA
Worcester State College,University,Worcester,MA
Cedar Crest College Alumnae Association,Alumni Association,Allentown,PA
Widener University School of Law,University,Chester,PA
Maryville College,University,Maryville,TN
Theta Xi Fraternity,Other,St. Louis,MO
South Dakota School of Mines & Technology Foundation,Foundation,Rapid City,SD
Sigma Beta Delta,Other,St. Louis,MO
Indiana Wesleyan University,University,Marion,IN
Oregon Institute of Technology,University,Klamath Falls,OR
Western State College Alumni Association,Alumni Association,Gunnison,CO
Austin College,University,Sherman,TX
Hampton University,University,Hampton,VA
Fort Lewis College Alumni Association,Alumni Association,Durango,CO
American Society for Microbiology,Other,Washington,DC
Loyola Blakefield Alumni Association,Alumni Association,Baltimore,MD
NACE International,Other,Houston,TX
Pennsylvania College of Optometry,University,Philadelphia,PA
Phi Sigma Pi,Other,Lancaster,PA
International Society for Optical Engineering,Other,Bellingham,WA
Butler University,University,Indianapolis,IN
"Clarion University Foundation, Inc.",Foundation,Clarion,PA
University System of Maryland Foundation,Foundation,Adelphi ,MD
Manhattanville College,University,Purchase,NY
"Sigma Nu Fraternity, Inc.",Other,Lexington,VA
Goshen College,University,Goshen ,IN
The President and Trustees of the Spring Hill College of the County of Mobile,University,Mobile,AL
Lawrence Technological University,University,Southfield,MI
Presbyterian College,University,Clinton,SC
Letourneau University,University,Longview,TX
St. Norbert College,University,De Pere,WI
Morrisville College Foundation,Foundation,Morrisville,NY
"PanIIT, Inc.",University,Cupertino,CA
Samford University,University,Birmingham,AL
Alverno College,University,Milwaukee,WI
Shorter College Alumni Association,Alumni Association,Rome,GA
University of Montevallo Alumni Association,Alumni Association,Montevallo,AL
Wayne State Foundation,Foundation,Wayne,NE
Alumni Associationof the University of West Alabama,Alumni Association,Livingston,AL
Monmouth College,University,Monmouth,IL
"California State University, San Marcos Alumni Association",Alumni Association,San Marcos,CA
Wilmington College,University,Wilmington,OH
Arcadia University,University,Glenside,PA
Theta Tau,Other,Austin,TX
Eastern Oregon University,University,LaGrande,OR
Arkansas Tech University Alumni Association,Alumni Association,Russellville,AR
Spring Arbor University,University,Spring Arbor,MI
"Herbert H. Lehman College Foundation, Inc.",Foundation,Bronx,NY
Southern Adventist University,University,Collegedale,TN
Trinity College,University,Hartford,CT
Texas A&M University-Corpus Christi Alumni Association,Alumni Association,Corpus Christi,TX
Carthage College,University,Kenosha,WI
"The Alumni Associationof the State University of New York Agricultural and Technical College at Farmingdale, Inc.",Alumni Association,Farmingdale,NY
Life University,University,Marietta,GA
The Alabama A&M University Alumni Association,Alumni Association,Normal,AL
Houghton College,University,Houghton,NY
University of New Haven,University,West Haven,CT
St. Ambrose University,University,Davenport,IA
Louisiana State University Shreveport Alumni Association,Alumni Association,Shreveport,LA
Albany Law School,University,Albany,NY
Alumni Associationof Winthrop University,Alumni Association,Rock Hill,SC
Franklin Pierce College,University,Rindge,NH
"Alfred State Alumni Association, Inc.",Alumni Association,Alfred,NY
Westminster College,University,Fulton,MO
Willamette University,University,Salem,OR
Independent University Alumni Associationat Lowell,Alumni Association,Lowell,MA
Lesley University,University,Cambridge,MA
University of St. Thomas,University,Houston,TX
Alabama State University,University,Montgomery,AL
Goldey Beacom College,University,Wilmington,DE
"Coastal Carolina University Alumni Association, Inc.",Alumni Association,Conway,SC
"University of North Carolina at Asheville Foundation, Inc.",Foundation,Asheville,NC
Tufts University,University,Medford,MA
"New Mexico Military Institute Alumni Association, Inc.",Alumni Association,Roswell,NM
The College of St. Scholastica,University,Duluth,MN
Mercyhurst College,University,Erie,PA
Lock Haven University Foundation,Foundation,Lock Haven,PA
Delta Phi Epsilon Sorority,Other,Maryland Heights,MO
Chadron State Foundation,Foundation,Chadron,NE
Catawba College,University,Salisbury,NC
Campbellsville University,University,Campbellsville,KY
Hawaii Pacific University,University,Honolulu,HI
St. Francis College,University,Brooklyn,NY
Colegio de Farmaceuticos de Puerto Rico,University,San Juan,PR
Bellarmine College,University,Louisville,KY
Alumnae Association of the College of Saint Elizabeth,Alumni Association,Morristown,NJ
University of the Arts,University,Philadelphia,PA
Saint Joseph's College,University,Rensselaer,IN
College Misericordia,University,Dallas,PA
University of Nebraska at Kearney Alumni Association,Alumni Association,Kearney,NE
University of the Incarnate Word,University,San Antonio,TX
North Carolina Central University Alumni Association,Alumni Association,Durham,NC
NLN Foundation for Nursing Education,Foundation,New York,NY
Lubbock Christian University,University,Lubbock,TX
Hamline University,University,Saint Paul,MN
Hood College,University,Frederick,MD
Regis College,University,Weston,MA
Emerson College,University,Boston,MA
"The Regents of the University of Colorado, a Body Corporate",University,Boulder,CO
Delaware State University Alumni Association,Alumni Association,Dover,DE
Utica College,University,Utica,NY
American Society of Women Accountants,Other,Memphis,TN
Blackburn College,University,Carlinville,IL
University of Houston-Clear Lake,University,Houston,TX
Central Bible College,University,Springfield,MO
Plymouth State University Alumni Association,Alumni Association,Plymouth,NH
The Associated Alumni of the Central High School of Philadelphia,Alumni Association,Rydal,PA
University of North Carolina at Pembroke,University,Pembroke,NC
Mary Baldwin College,University,Staunton,VA
St. John Fisher College,University,Rochester,NY
Southwestern University School of Law,University,Los Angeles,CA
Alumni AssociationSchool of Medicine of Loma Linda University,Alumni Association,Loma Linda,CA
Dominican University,University,River Forest,IL
"Fairmont State College Alumni Association, Inc.",Alumni Association,Fairmont,WV
"York College Alumni, Inc.",Alumni Association,Jamaica,NY
Alumnae Association of Wilson College,Alumni Association,Chambersburg,PA
Howard Payne University Alumni Association,Alumni Association,Brownwood,TX
Houston Baptist University,University,Houston,TX
The College of Saint Rose,University,Albany,NY
Saint Xavier University,University,Chicago,IL
"Pi Sigma Epsilon, Inc.",Other,Hartland,WI
Quincy University,University,Quincy,IL
"Chi Phi Fraternity, Inc.",Other,Libum,GA
University of Portland,University,Portland,OR
The American College,University,Bryn Mawr,PA
The Delta Theta Phi Law Fraternity,Other,Rocky River,OH
St. Edward's University,University,Austin,TX
Elon College,University,Elon College,NC
Alpha Chi Rho Fraternity,Other,Neptune,NJ
Saint Vincent College Alumni Association,Alumni Association,Latrobe,PA
Graceland University,University,Lamoni,IA
Florida Southern College,University,Lakeland,FL
Lebanon Valley College,University,Annville,PA
St. George's University School of Medicine Alumni Association,Alumni Association,Islip Terrace,NY
Wagner College ,University,Staten Island,NY
Delta Kappa Epsilon Fraternity,Other,Washington,DC
William Jewell College,University,Liberty,MO
Associated Alumni of Adams State College,Alumni Association,Alamosa,CO
Mount St. Mary's College,University,Los Angeles,CA
Phi Kappa Sigma International Fraternity,Other,Chester Springs,PA
University of Wisconsin-Parkside Alumni Association,Alumni Association,Kenosha,WI
Fitchburg State College,University,Fitchburg,MA
Alpha Sigma Tau,Other,Birmingham,AL
Kappa Delta Rho Fraternity,Other,Greensburg,PA
Carroll College,University,Helena,MT
"Claremont McKenna College Alumni Association, Inc.",Alumni Association,Claremont,CA
New York Law School Alumni Association,Alumni Association,New York,NY
Oregon Health Sciences University Alumni Associations,Alumni Association,Portland,OR
Waynesburg University,University,Waynesburg,PA
Wheeling Jesuit University,University,Wheeling,WV
Pennsylvania Pharmacists Association,Other,Harrisburg,PA
Walla Walla College,University,College Place,WA
University of St. Francis,University,Joliet,IL
Sigma Alpha Mu Fraternity,Other,Indianapolis,IN
"The Delta Kappa Gamma Society, International",Other,Austin,TX
New England School of Law,University,Boston,MA
The New York Medical College Alumni Association,Alumni Association,Valhalla,NY
"Alpha Kappa Psi Fraternity, Inc.",Other,Indianapolis,IN
Morehouse College Alumni Association,Alumni Association,Atlanta,GA
Immaculata University,University,Immaculata,PA
Washington College,University,Chestertown,MD
Delta Sigma Delta,Other,Dousman,WI
Belmont University,University,Nashville,TN
Framingham State College,University,Framingham,MA
Simmons College,University,Boston,MA
"Alpha Phi Delta Foundation, Inc.",Foundation,Monroeville,PA
Florida Pharmacy Association,Other,Tallahassee,FL
North Park University,University,Chicago,IL
Bridgewater College,University,Bridgewater,VA
D'Youville College,University,Buffalo,NY
California Psychological Association,Other,Los Angeles,CA
"American Institute of Chemists, Inc.",Other,Bethesda,MD
Eckerd College Alumni Association,Alumni Association,St. Petersburg,FL
New Mexico Highlands University Alumni Association,Alumni Association,Las Vegas,NM
Montana State University-Northern Foundation and Montana State University-Northern Alumni Association,"Alumni Association, Foundation",Havre,MT
Rose-Hulman Institute of Technology,University,Terre Haute,IN
"The Minerals, Metals and Materials Society, Inc.",Other,Warrendale,PA
Averett University,University,Danville,VA
Biola University,University,La Miranda,CA
Lake Superior State University,University,Sault Ste. Marie,MI
Prairie View A & M University/National Alumni Association,"Alumni Association, University",Prairie View,TX
Eastern Connecticut State University Alumni Association,Alumni Association,Willimantic,CT
Phi Delta Chi,Other,South Lyon,MI
"University of Wisconsin Oshkosh Foundation, Inc.",Foundation,Oshkosh,WI
"Pi Lambda Phi Fraternity, Inc.",Other,Danbury,CT
"Belmont Abbey College, Inc.",University,Belmont,NC
"Southern Polytechnic State University Alumni Association, Inc.",Alumni Association,Marietta,GA
Bethany College,University,Bethany,WV
"Alumni Associationof Purchase College, State University of New York",Alumni Association,Purchase,NY
University of Maryland University College Alumni Association,Alumni Association,College Park,MD
Thomas M. Cooley Law School,University,Lansing,MI
Lenoir Rhyne College Alumni Association,Alumni Association,Hickory,NC
"Bowie State University National Alumni Association, Inc.",Alumni Association,Saint Leonard,MD
University of Medicine and Dentistry of New Jersey and Robert Wood Johnson Medical School Alumni Association,"Alumni Association, University",Piscataway,NJ
St. Thomas Aquinas College,University,Sparkill,NY
West Virginia Wesleyan College,University,Buckhannon,WV
Soil and Water Conservation Society,Other,Ankeny,IA
American Academy of Optometry,Other,Rockville,MD
Alpha Epsilon Phi Foundation,Foundation,Stamford,CT
Centenary College of Louisiana,University,Shreveport,LA
State University of New York-Brockport Alumni Association,Alumni Association,Brockport,NY
Golden Gate University,University,San Francisco,CA
Christopher Newport University Educational Foundation,Foundation,Newport News,VA
Virginia State University Alumni Association,Alumni Association,St. Stephens Church,VA
Massachusetts College of Pharmacy and Allied Health Sciences,University,Boston,MA
Delaware Valley College,University,Doylestown,PA
Assumption College,University,Worcester,MA
Northern Virginia Community College Educational Foundation,Foundation,Annandale,VA
University of Alaska Fairbanks Alumni Association,Alumni Association,Fairbanks,AK
"Augusta State University Foundation, Inc.",Foundation,Augusta,GA
Texas Society of Professional Engineers,Other,Austin,TX
Association for Childhood Education International,Other,Wheaton,MD
Meredith College,University,Raleigh,NC
Student National Medical Association,Other,Washington,DC
Alabama Pharmacy Association,Other,Montgomery,AL
Lycoming College,University,Williamsport,PA
Northwood University,University,Midland ,MI
Alcorn State University,University,Lorman,MS
Austin Peay State University National Alumni Association,Alumni Association,Clarksville,TN
West Virginia State University,University,Institute,WV
Newman University Alumni Association,Alumni Association,Wichita,KS
"The Mount Sinai Alumni, Inc.",Alumni Association,New York,NY
University of Phoenix Alumni Association,Alumni Association,Phoenix,AZ
"Mountain State University, Inc.",University,Beckley,WV
Psi Omega Dental Fraternity,Other,Charleston,SC
National Dental Association,Other,Washington,DC
College of Mount Saint Vincent,University,Riverdale,NY
Saint Joseph's College of Maine,University,Standish,ME
Davenport University,University,Grand Rapids,MI
Oglethorpe University Alumni Association,Alumni Association,Atlanta,GA
"Associated Students Incorporated, California State University-Long Beach",Other,Long Beach,CA
Wesley College,University,Dover,DE
Wesleyan College,University,Macon,GA
American Society of Naval Engineers,Other,Alexandria,VA
St. Petersburg College Alumni Association,Alumni Association,Pinellas Park,FL
Hartwick College,University,Oneonta,NY
Husson University,Alumni Association,Bangor,ME
Lincoln Memorial University,University,Harrogate,TN
Cabrini College,University,Radnor,PA
Stetson College of Law,University,Gulfport,FL
Alumni Associationof Philadelphia College of Osteopathic Medicine ,Alumni Association,Philadelphia,PA
New England College Alumni Association,Alumni Association,Henniker,NH
University of Southern Maine,University,Portland,ME
Union College,University,Barbourville,KY
Southern University System Alumni Federation,Alumni Association,Baton Rouge,LA
Lakewood Public School Alumni Foundation,Foundation,Lakewood,OH
Barnard College,University,New York,NY
"Armstrong Atlantic State University Foundation, Inc.",Foundation,Savannah,GA
Colby-Sawyer College,University,New London,NH
Bloomsburg University of Pennsylvania,University,Bloomsburg,PA
Juilliard School,University,New York,NY
Randolph Macon Woman's College Alumnae Association,Alumni Association,Lynchburg,VA
Faulkner University,University,Montgomery,AL
Jackson State University,University,Jackson,MS
Ramapo College Foundation,Foundation,Mahwah,NJ
United States Merchant Marine Academy,University,Kings Point,NY
Coe College,University,Cedar Rapids,IA
Limestone College,University,Gaffney,SC
Oxford Limited ,University,Oxford,UK
Antioch University New England,University,Keene,NH
Cardinal Stritch University,University,Milwaukee,WI
California Lutheran University,University,Thousand Oaks,CA
Pratt Institute,University,Brooklyn,NY
Mercy College Alumni Association,Alumni Association,Dobbs Ferry,NY
Academy of Art College,University,San Francisco,CA
Erskine College,University,Due West,SC
Kutztown University of Pennsylvania,University,Kutztown,PA
Des Moines University Osteopathic Medical Center,University,Des Moines,IA
Newberry College,University,Newberry,SC
University of Kentucky Alumni Association,Alumni Association,Lexington,KY
Lawrence University,University,Appleton,WI
American Institute of Architecture Students,Other,Washington,DC
Becker College,University,Worcester,MA
Culver-Stockton College,University,Canton,MO
Emmanuel College,University,Boston,MA
Georgia Pharmacy Foundation,Foundation,Atlanta,GA
Dakota State University Alumni Association,Alumni Association,Madison,SD
Methodist College Incorporated,University,Fayetteville,NC
The Wildlife Society,Other,Bethesda,MD
Alpha Omega International Dental Fraternity,Other,Baltimore,MD
Northwest University,University,Kirkland,WA
Christian Brothers University,University,Memphis,TN
"Georgia Southwestern Foundation, Inc.",Foundation,Americus,GA
"Wilmington University, Inc.",University,New Castle,DE
Aurora University,University,Aurora,IL
University of Arkansas Pine Bluff Alumni Association,Alumni Association,Pine Bluff,AR
Keuka College,University,Keuka Park,NY
Guilford College,University,Greensboro,NC
Quinnipiac University School of Law,University,Hamden,CT
Carlow University,University,Pittsburgh,PA
Green Mountain College,University,Poultney,VT
North Greenville University,University,Tigerville,SC
Shenandoah University,University,Winchester,VA
Marymount University,University,Arlington,VA
Upper Iowa University,University,Fayette,IA
Merrimack College,University,North Andover,MA
Grambling University National Alumni Association,Alumni Association,Grambling,LA
Alumni Associationof Fashion Institute of Technology,Alumni Association,New York,NY
East Central University Alumni Association,Alumni Association,Ada,OK
Mississippi Valley State University,University,Itta Bena,MS
Barton College,University,Wilson,NC
Grand View University,University,Des Moines,IA
Aquinas College,University,Grand Rapids,MI
John F. Kennedy University Alumni Association,Alumni Association,Orinda,CA
Albany College of Pharmacy,University,Albany,NY
Felician College,University,Lodi,NJ
St. Mary's University ,University,San Antonio,TX
The Principia,University,Elsah,IL
Biomedical Engineering Society,Other,Culver City,CA
Lock Haven University of Pennsylvania,University,Lock Haven,PA
Thiel College,University,Greenville,PA
Gwynedd Mercy College,University,Gwynedd Valley,PA
Converse College,University,Spartanburg,SC
"Shippensburg University Student Services, Inc.",Other,Shippensburg,PA
University of New England,University,Biddeford,ME
Fayetteville State University ,University,Fayetteville,NC
American Academy of Osteopathy,Other,Indianapolis,IN
Cleveland-Marshall Law Alumni Association,Alumni Association,Cleveland,OH
University of California at Los Angeles-Medical Alumni Association,Alumni Association,Los Angeles,CA
East Stroudsburg University of Pennsylvania,University,East Stroudsburg,PA
Adrian College,University,Adrian,MI
University of Bridgeport,University,Bridgeport,CT
Osteopathic Physicians and Surgeons of California,Other,Sacramento,CA
Triangle,Other,Indianapolis,IN
Wingate University,University,Wingate,NC
Baker College,University,Flint,MI
Ohio College of Podiatric Medicine,University,Cleveland,OH
Clark Atlanta University,University,Atlanta,GA
Chicago State University Foundation,Foundation,Chicago,IL
Bennett College National Alumnae Association,Alumni Association,Greensboro,NC
"Coppin State University Development Foundation, Inc.",Foundation,Baltimore,MD
Kentucky Wesleyan College,University,Owensboro,KY
American Institute of Biological Sciences,Other,Washington,DC
California School of Podiatric Medicine at Samuel Merritt College,University,Oakland,CA
American Design Drafting Association,Other,Rockville,MD
Western New England College School of Law,University,Springfield,MA
Ferris State University,University,Big Rapids,MI
Chi Psi Fraternity,Other,Chapel Hill,NC
Marian College,University,Indianapolis,IN
Dominican University of California,University,San Rafael,CA
Phi Chi Theta,Other,Lufkin,TX
Dominican College,University,Orangeburg,NY
Montana Tech Foundation,Foundation,Butte ,MT
Colorado Christian University,University,Lakewood,CO
"TCI Education, Inc.",University,Phoenix,AZ
Millersville University of Pennsylvania,University,Millersville,PA
California University of Pennsylvania,University,California,PA
"SUNY-Institute of Technology Foundation at Utica/Rome, Inc.",Foundation,Utica,NY
University of Texas Dental Branch Alumni Association,Alumni Association,Houston,TX
Metropolitan State University Foundation,Foundation,St. Paul,MN
Southern Wesleyan University,University,Central,SC
Western State University Alumni Association,Alumni Association,Fullerton,CA
Cazenovia College,University,Cazenovia,NY
Kappa Psi Pharmaceutical Fraternity,Other,Oklahoma City,OK
The Fraternity of Alpha Zeta,Other,St. Louis,MO
Harrisburg Area Community College,University,Harrisburg,PA
Mu Phi Epsilon Fraternity,Other,Long Beach,CA
"University of Maryland Eastern Shore National Alumni Association, Inc.",Alumni Association,Princess Anne,MD
Ohio Dominican College,University,Columbus,OH
Phi Chi Medical Fraternity,Other,New Albany,IN
Kappa Epsilon Fraternity,Other,Stone Mountain,GA
"Phi Delta Epsilon Medical Fraternity, Inc.",Other,Hollywood,FL
Vaughn College of Aeronautics and Technology,University,Flushing,NY
University of Western Ontario,University,London,ON
University of New England Osteopathic Medicine,University,Biddeford,ME
Tau Epsilon Phi Fraternity,Other,Voorhees,NJ
The Alumnae Association of Trinity College,Alumni Association,Washington,DC
Mansfield University of Pennsylvania,University,Mansfield,PA
State University of New York-State College of Optometry Alumni Association,Alumni Association,New York,NY
Langston University National Alumni Association,Alumni Association,Langston,OK
Xi Psi Phi,Other,Alton,IL
Phi Epsilon Kappa,Other,Indianapolis,IN
California School of Professional Psychology,University,Alhambra,CA
Bank Street College,University,New York,NY
Morris Brown College National Alumni Association,Alumni Association,Atlanta,GA
Peirce College,University,Philadelphia,PA
Tuskegee University,University,Tuskegee,AL
McGeorge School of Law,University,Sacramento,CA
La Sierra University and La Sierra Alumni Association,"Alumni Association, University",Riverside,CA
University of Maryland School of Law,University,Baltimore,MD
The Harvard Cooperative Society,Other,Cambridge,MA
Meharry National Alumni Association,Alumni Association,Nashville,TN
American College Student Association,Other,Columbia,SC
"California State University, Stanislaus",University,Turlock,CA
Claflin College,University,Orangeburg,SC
Foundation at New Jersey Institute of Technology,Foundation,Newark,NJ
Cheyney University of Pennsylvania,University,Cheyney,PA
Southeastern College,University,Lakeland,FL
Illinois College of Optometry,University,Chicago,IL
Menlo College,University,Atherton,CA
Rosemont College,University,Rosemont,PA
Clayton State Alumni Association,Alumni Association,Morrow,GA
Phi Gamma Nu,Other,Seven Hills,OH
St. John's College,University,Cambridge,UK
Phi Rho Sigma Medical Society,Other,Indianapolis,IN
University of Arkansas at Little Rock School of Law,University,Little Rock,AR
University of New Mexico,University,Albuquerque,NM
The President and Fellows of New Hall in The University of Cambridge,University,Cambridge,UK
Lake Erie College,University,Painesville,OH
Wilson College,University,Chambersburg,PA
Fitzwilliam College,University,Cambridge,UK
Alpha Epsilon Delta,Other,Harrisonburg,VA
Johnson & Wales University,University,Providence,RI
"California State University, Hayward, Alumni Association",Alumni Association,Hayward,CA
Northeastern Illinois University,University,Chicago,IL
"Colleges of the Seneca, Inc.",University,Geneva,NY
Queen's University at Kingston,University,Kingston,ON
University of Utah Athletics Department and University of Utah Alumni Association,"Alumni Association, University",Salt Lake City,UT
"St. Catherine's College, Cambridge",University,Cambridge,UK
"Lake Sumter Community College Foundation, Inc.",Foundation,Leesburg,FL
Syracuse Football Club,Other,Syracuse,NY
Greater University of South Carolina Alumni Association,Alumni Association,Columbia,SC
Medical College of Virginia Alumni Associationof Virginia Commonwealth University,Alumni Association,Richmond,VA
"University of West Florida Foundation, Inc.",Foundation,Pensacola,FL
Brookdate Community College Alumni Association,Alumni Association,Lincroft,NJ
Lake County Schools Alumni,Alumni Association,Memphis ,TN
St. Louis College of Pharmacy Alumni Association,Alumni Association,St. Louis,MO
UMKC Alumni Association,Alumni Association,Kansas City,MO
UMKC College of Arts and Sciences,Alumni Association,Kansas City,MO
